drug_id,input_drug_name,molecule_chembl_id,target_chembl_id,target_pref_name,target_organism,assay_chembl_id,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value,document_chembl_id,document_journal,document_year,src_id,activity_id,record_id,assay_description,data_validity_comment,potential_duplicate,target_label
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL676826,B,Ki,=,27.0,nM,7.57,CHEMBL1149126,J Med Chem,2004,1,595754,88527,Binding affinity for human GABA-A receptor alpha-4-beta-3-gamma-2 subunits in L(tk-) cells,,1,alpha1_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL681841,B,Ki,=,160.0,nM,6.80,CHEMBL1149126,J Med Chem,2004,1,595755,88527,Binding affinity for human GABA-A receptor alpha-2-beta-3-gamma-2 subunits in L(tk-) cells,,1,alpha2_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL678329,B,Ki,=,26.7,nM,7.57,CHEMBL1132940,J Med Chem,2000,1,618407,343983,Binding affinity for human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-1-beta-3-gamma-2,,1,alpha1_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL681248,B,Ki,=,156.0,nM,6.81,CHEMBL1132940,J Med Chem,2000,1,618408,343983,Binding affinity to human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-2-beta-3-gamma-2,,1,alpha2_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL677034,B,Ki,=,52.1,nM,7.28,CHEMBL1148356,J Med Chem,2004,1,662350,230416,Binding affinity towards human alpha-1-beta-3-gamma-2 GABA-A receptor using [3H]Ro-151788 expressed in L(tk-) cells,,0,alpha1_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL677029,F,Efficacy,=,133.0,%,,CHEMBL1148356,J Med Chem,2004,1,662351,230416,Percent change in electrophysiological response in Xenopus oocytes expressing Alpha1-beta3-gamma2 GABA-A receptor,,0,alpha1_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL682709,B,Ki,=,255.1,nM,6.59,CHEMBL1148356,J Med Chem,2004,1,662352,230416,Binding affinity towards human gamma-aminobutyric-acid A receptor alpha-2-beta-3-gamma-2 using [3H]Ro-151788 expressed in L(tk-) cells,,0,alpha2_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL877823,F,Efficacy,=,187.0,%,,CHEMBL1148356,J Med Chem,2004,1,662353,230416,Percent change in electrophysiological response in Xenopus oocytes expressing Alpha2-beta3-gamma2 GABA-A receptor,,0,alpha2_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL822162,B,Ki,=,26.7,nM,7.57,CHEMBL1131013,J Med Chem,1998,1,886261,154146,Binding affinity measured using LtK- cell membranes expressing GABA alpha-1-beta-3-gamma-2 receptor,,0,alpha1_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL824294,B,Ki,=,156.0,nM,6.81,CHEMBL1131013,J Med Chem,1998,1,886262,154146,Binding affinity measured using LtK- cell membranes expressing GABA alpha-2-beta-3-gamma-2 receptor,,0,alpha2_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL829006,B,Ki,=,27.0,nM,7.57,CHEMBL1142695,J Med Chem,2005,1,1412600,363169,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric-acid A receptor alpha-1-beta-3-gamma-2 subtype expressed in L (tk-) cells,,1,alpha1_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL829005,B,Ki,=,103.0,nM,6.99,CHEMBL1142695,J Med Chem,2005,1,1412601,363169,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric acid A receptor alpha-2-beta-3-gamma-2 subtype expressed in L (tk-) cells,,0,alpha2_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL919087,B,Ki,=,27.0,nM,7.57,CHEMBL1139460,J Med Chem,2005,1,1844041,630950,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in L(tk-) cells,,1,alpha1_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL919088,B,Ki,=,160.0,nM,6.80,CHEMBL1139460,J Med Chem,2005,1,1844050,630950,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in L(tk-) cells,,1,alpha2_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL919090,B,Efficacy,=,160.0,%,,CHEMBL1139460,J Med Chem,2005,1,1844059,630950,Efficacy at human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in Xenopus laevis oocytes by two electrode voltage clamp method relative to GABA,,0,alpha1_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL919091,B,Efficacy,=,123.0,%,,CHEMBL1139460,J Med Chem,2005,1,1844073,630950,Efficacy at human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in Xenopus laevis oocytes by two electrode voltage clamp method relative to GABA,,0,alpha2_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,CHEMBL1273615,B,Ki,=,26.7,nM,7.57,CHEMBL1268934,Bioorg Med Chem,2010,1,3519533,965419,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,,1,alpha1_beta3_gamma2
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL1273616,B,Ki,=,156.0,nM,6.81,CHEMBL1268934,Bioorg Med Chem,2010,1,3519534,965419,Displacement of [3H]flunitrazepam from human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in HEK cells by liquid scintillation counting,,1,alpha2_beta3_gamma2
zaleplon,Zaleplon,CHEMBL1521,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,CHEMBL2327958,B,EC50,=,1630.0,nM,5.79,CHEMBL2321869,J Med Chem,2013,1,12662653,1850407,Modulation of human GABAA alpha2beta3gamma2 expressed in xenopus oocytes assessed as potentiation of GABA-evoked chloride currents,,0,alpha2_beta3_gamma2
